Unnamed: 0,Hindi,English
0,जैसा,as
2,उसके,his
3,कि,that
4,वह,he
5,था,was
6,के लिए,for
7,पर,on
8,हैं,are
9,साथ,with
10,वे,they
12,पर,at
13,एक,one
14,है,have
15,इस,this
16,से,from
17,द्वारा,by
18,गरम,hot
19,शब्द,word
20,लेकिन,but
21,क्या,what
22,कुछ,some
23,है,is
24,यह,it
25,आप,you
26,या,or
28,,the
29,की,of
30,तक,to
31,और,and
32,एक,a
33,में,in
34,हम,we
35,कर सकते हैं,can
36,बाहर,out
37,अन्य,other
38,थे,were
39,जो,which
40,कर,do
41,उनके,their
42,समय,time
43,अगर,if
44,होगा,will
45,कैसे,how
46,कहा,said
47,एक,an
48,प्रत्येक,each
49,बता,tell
50,करता है,does
51,सेट,set
52,तीन,three
53,चाहते हैं,want
54,हवा,air
55,अच्छी तरह से,well
56,खेलने,play
57,छोटे,small
58,अंत,end
59,डाल,put
60,घर,home
61,पढ़ा,read
64,बड़ा,large
65,जादू,spell
66,और भी,even
67,भूमि,land
68,यहाँ,here
69,चाहिए,must
70,बड़ा,big
71,उच्च,high
72,ऐसा,such
73,का पालन करें,follow
74,अधिनियम,act
75,क्यों,why
76,पूछना,ask
77,पुरुषों,men
78,परिवर्तन,change
79,चला गया,went
80,प्रकाश,light
81,तरह,kind
82,बंद,off
83,आवश्यकता,need
84,घर,house
85,तस्वीर,picture
86,कोशिश,try
87,फिर,again
88,पशु,animal
89,बिंदु,point
90,मां,mother
91,दुनिया,world
92,निकट,near
93,बनाना,build
94,आत्म,self
95,पृथ्वी,earth
96,पिता,father
97,किसी भी,any
98,नई,new
99,काम,work
100,हिस्सा,part
101,लेना,take
102,प्राप्त,get
103,जगह,place
104,निर्मित,made
105,जीना,live
106,जहां,where
107,के बाद,after
108,वापस,back
109,थोड़ा,little
110,केवल,only
111,दौर,round
112,आदमी,man
113,वर्ष,year
114,आया,came
115,शो,show
116,हर,every
117,अच्छा,good
118,मुझे,me
119,दे,give
120,हमारे,our
121,नीचे,under
122,नाम,name
123,बहुत,very
124,के माध्यम से,through
125,बस,just
126,फार्म,form
127,वाक्य,sentence
128,महान,great
129,लगता है,think
130,कहना,say
131,मदद,help
132,कम,low
133,रेखा,line
134,अलग,differ
135,बारी,turn
136,कारण,cause
137,ज्यादा,much
138,मतलब,mean
139,पहले,before
140,चाल,move
141,सही,right
142,लड़का,boy
143,पुराना,old
144,भी,too
145,वही,same
146,वह,she
147,सब,all
148,वहाँ,there
149,जब,when
150,ऊपर,up
151,उपयोग,use
152,अपने,your
153,रास्ता,way
154,के बारे में,about
155,कई,many
156,तो,then
157,उन्हें,them
158,लिखना,write
159,होगा,would
160,जैसा,like
161,तो,so
163,उसके,her
164,लंबे समय तक,long
165,कर,make
166,बात,thing
167,देखना,see
168,उसे,him
169,दो,two
170,है,has
171,देखो,look
172,अधिक,more
173,दिन,day
174,सकता है,could
175,जाना,go
176,आ,come
178,संख्या,number
179,ध्वनि,sound
180,नहीं,no
181,सबसे,most
182,लोग,people
183,मेरे,my
184,अधिक,over
185,पता,know
186,पानी,water
187,से,than
188,कॉल,call
189,पहले,first
190,कौन,who
191,मई,may
192,नीचे,down
193,पक्ष,side
194,गया,been
195,अब,now
196,लगता है,find
197,सिर,head
198,खड़े,stand
199,खुद,own
200,पेज,page
201,चाहिए,should
202,देश,country
203,पाया,found
204,जवाब,answer
205,स्कूल,school
206,बढ़ने,grow
208,अब तक,still
209,सीखना,learn
210,संयंत्र,plant
211,कवर,cover
212,भोजन,food
213,सूरज,sun
214,चार,four
215,के बीच,between
216,राज्य,state
217,रखना,keep
218,आंख,eye
219,कभी नहीं,never
220,पिछले,last
221,चलो,let
222,सोचा,thought
223,शहर,city
224,पेड़,tree
225,पार,cross
226,खेत,farm
227,कठिन,hard
228,शुरुआत,start
229,हो सकता है,might
230,कहानी,story
231,देखा,saw
232,दूर,far
233,समुद्र,sea
234,आकर्षित,draw
235,छोड़ा,left
236,देर से,late
237,चलाने,run
239,जबकि,while
240,प्रेस,press
242,रात,night
243,असली,real
244,जीवन,life
245,कुछ,few
246,उत्तर,north
247,किताब,book
248,ले,carry
249,ले लिया,took
250,विज्ञान,science
251,खाने,eat
252,कमरे,room
253,दोस्त,friend
254,शुरू हुआ,began
255,विचार,idea
256,मछली,fish
257,पहाड़,mountain
258,रोक,stop
259,एक बार,once
260,आधार,base
261,सुनना,hear
262,घोड़ा,horse
264,यकीन,sure
265,घड़ी,watch
266,रंग,color
267,चेहरा,face
268,लकड़ी,wood
269,मुख्य,main
270,खुला,open
271,प्रतीत,seem
272,एक साथ,together
273,अगला,next
274,सफेद,white
275,बच्चों,children
276,प्रारंभ करना,begin
277,मिला,got
279,उदाहरण,example
280,आसानी,ease
281,कागज,paper
282,सदैव,always
283,संगीत,music
284,उन,those
285,दोनों,both
286,मार्क,mark
287,अक्सर,often
289,जब तक,until
290,मील,mile
291,नदी,river
292,कार,car
293,पैर,feet
294,देखभाल,care
295,दूसरा,second
296,शब्द,word
